risk_type,geography_type,geography_id,as_of_date,risk_probability,risk_level,population_context,population_potentially_exposed,exposure_method,source_version,model_version,quality_status
DROUGHT,DISTRICT,SO1101,2025-12-18,0.016835016835016835,NORMAL,443194.656,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1102,2025-12-18,0.016835016835016835,NORMAL,68710.031,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1103,2025-12-18,0.2692307692307692,WATCH,74691.516,74691.516,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO1104,2025-12-18,0.05228758169934641,NORMAL,66585.359,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1201,2025-12-18,0.016835016835016835,NORMAL,1084594.125,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1202,2025-12-18,0.11464968152866242,NORMAL,195668.516,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1203,2025-12-18,0.016835016835016835,NORMAL,211582.281,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1301,2025-12-18,0.0784313725490196,NORMAL,540051.688,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1302,2025-12-18,0.11464968152866242,NORMAL,96370.297,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO1303,2025-12-18,0.016835016835016835,NORMAL,101812.781,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO1304,2025-12-18,0.024,NORMAL,150609.578,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1401,2025-12-18,0.2692307692307692,WATCH,274492.5,274492.5,full_canonical_district_population_at_or_above_watch_threshold,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1402,2025-12-18,0.11464968152866242,NORMAL,99959.281,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,GOOD
DROUGHT,DISTRICT,SO1403,2025-12-18,0.11464968152866242,NORMAL,96467.211,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,DEGRADED
DROUGHT,DISTRICT,SO1404,2025-12-18,0.11464968152866242,NORMAL,99611.672,0.0,no_exposure_claim_at_normal_risk_level,1.1.0,1.1.0,DEGRADED
