risk_type,geography_type,geography_id,as_of_date,risk_probability,risk_level,population_context,population_potentially_exposed,exposure_method,source_version,model_version,quality_status
FOOD_SECURITY,REGION,SO11,2023-12-02,0.5249999999999999,WATCH,653181.562,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO12,2023-12-02,0.5249999999999999,WATCH,1491844.922,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO13,2023-12-02,0.475,WATCH,888844.344,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO14,2023-12-02,0.675,WARNING,570530.664,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO15,2023-12-02,0.5249999999999999,WATCH,442544.062,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO16,2023-12-02,0.5,WATCH,1208658.941,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO17,2023-12-02,0.675,WARNING,654037.735,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO18,2023-12-02,0.8999999999999999,SEVERE,1520143.844,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,GOOD
FOOD_SECURITY,REGION,SO19,2023-12-02,0.98,SEVERE,821518.875,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO20,2023-12-02,0.5,WATCH,519712.273,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO21,2023-12-02,0.5249999999999999,WATCH,1053066.297,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO22,2023-12-02,0.35000000000000003,WATCH,3292852.184,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,GOOD
FOOD_SECURITY,REGION,SO23,2023-12-02,0.39999999999999997,WATCH,1655323.367,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO24,2023-12-02,0.7999999999999999,SEVERE,1296980.906,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO25,2023-12-02,0.35000000000000003,WATCH,563170.625,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO26,2023-12-02,0.5249999999999999,WATCH,883606.04,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO27,2023-12-02,0.475,WATCH,447016.219,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
FOOD_SECURITY,REGION,SO28,2023-12-02,0.425,WATCH,1176546.937,,model_predicts_binary_burden_threshold_not_a_population_fraction,1.1.0,1.1.0,DEGRADED
