ipc_area_id,analysis_id,ipc_period,ipc_area_title,ipc_admin_type,ipc_geometry_type,district_id,district_name,district_region_id,district_region_name,intersection_area,intersection_area_unit,district_overlap_pct,ipc_area_overlap_pct,mapping_type,ambiguous,eligible_for_areal_weighting,notes
1451,87143416,C,"Awdal Urban (Baki, Lughaye and Zeylac)",polygon,Point,SO1102,Baki,SO11,Awdal,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1452,87143416,C,Awdal Urban (Borama),urb,Point,SO1101,Borama,SO11,Awdal,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1453,87143416,C,Awdal Urban IDPs (Baki and Lughaye),idp,Point,SO1103,Lughaye,SO11,Awdal,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1454,87143416,C,Awdal Urban IDPs (Borama),idp,Point,SO1101,Borama,SO11,Awdal,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1455,87143416,C,Bakool Southern Agro-Pastoral,polygon,Polygon,SO2505,Rab Dhuure,SO25,Bakool,2788.15132,km2,84.44297,23.975301,polygon_overlap_multi_district,True,True,Equal-area intersection in EPSG:6933; no label assignment is implied.
1455,87143416,C,Bakool Southern Agro-Pastoral,polygon,Polygon,SO2503,Tayeeglow,SO25,Bakool,2983.896588,km2,45.243888,25.658514,polygon_overlap_multi_district,True,True,Equal-area intersection in EPSG:6933; no label assignment is implied.
1455,87143416,C,Bakool Southern Agro-Pastoral,polygon,Polygon,SO2504,Waajid,SO25,Bakool,1376.397237,km2,49.097098,11.835634,polygon_overlap_multi_district,True,True,Equal-area intersection in EPSG:6933; no label assignment is implied.
1455,87143416,C,Bakool Southern Agro-Pastoral,polygon,Polygon,SO2501,Xudur,SO25,Bakool,4478.742753,km2,82.456338,38.51269,polygon_overlap_multi_district,True,True,Equal-area intersection in EPSG:6933; no label assignment is implied.
1455,87143416,C,Bakool Southern Agro-Pastoral,polygon,Polygon,SO2606,Luuq,SO26,Gedo,2.077095,km2,0.025123,0.017861,polygon_overlap_multi_district,True,True,Equal-area intersection in EPSG:6933; no label assignment is implied.
1456,87143416,C,Bakool Southern Inland Pastoral,polygon,MultiPolygon,SO2502,Ceel Barde,SO25,Bakool,7665.087185,km2,99.993475,89.299635,polygon_overlap_multi_district,True,True,Equal-area intersection in EPSG:6933; no label assignment is implied.
1456,87143416,C,Bakool Southern Inland Pastoral,polygon,MultiPolygon,SO2505,Rab Dhuure,SO25,Bakool,513.54987,km2,15.553559,5.982948,polygon_overlap_multi_district,True,True,Equal-area intersection in EPSG:6933; no label assignment is implied.
1456,87143416,C,Bakool Southern Inland Pastoral,polygon,MultiPolygon,SO2503,Tayeeglow,SO25,Bakool,379.630425,km2,5.756217,4.422762,polygon_overlap_multi_district,True,True,Equal-area intersection in EPSG:6933; no label assignment is implied.
1456,87143416,C,Bakool Southern Inland Pastoral,polygon,MultiPolygon,SO2501,Xudur,SO25,Bakool,19.593922,km2,0.360736,0.228273,polygon_overlap_multi_district,True,True,Equal-area intersection in EPSG:6933; no label assignment is implied.
1456,87143416,C,Bakool Southern Inland Pastoral,polygon,MultiPolygon,SO2606,Luuq,SO26,Gedo,4.504817,km2,0.054487,0.052482,polygon_overlap_multi_district,True,True,Equal-area intersection in EPSG:6933; no label assignment is implied.
1456,87143416,C,Bakool Southern Inland Pastoral,polygon,MultiPolygon,SO2001,Belet Weyne,SO20,Hiraan,0.279447,km2,0.001903,0.003256,boundary_sliver_preserved,True,False,Equal-area intersection in EPSG:6933; no label assignment is implied.
1456,87143416,C,Bakool Southern Inland Pastoral,polygon,MultiPolygon,SO2002,Bulo Burto,SO20,Hiraan,0.345403,km2,0.002152,0.004024,boundary_sliver_preserved,True,False,Equal-area intersection in EPSG:6933; no label assignment is implied.
1457,87143416,C,"Bakool Urban (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)",urb,Point,SO2501,Xudur,SO25,Bakool,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1460,87143416,C,Bakool Urban (Xudur),urb,Point,SO2501,Xudur,SO25,Bakool,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1458,87143416,C,"Bakool Urban IDPs (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)",idp,Point,SO2501,Xudur,SO25,Bakool,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1459,87143416,C,Bakool Urban IDPs (Xudur),idp,Point,SO2501,Xudur,SO25,Bakool,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1462,87143416,C,Banadir Urban (Mogadishu),urb,Point,Unspecified,Unspecified,SO22,Banadir,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1461,87143416,C,Banadir Urban IDPs (Mogadishu),idp,Point,Unspecified,Unspecified,SO22,Banadir,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1463,87143416,C,"Bari Urban (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)",urb,Point,SO1604,Iskushuban,SO16,Bari,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1464,87143416,C,Bari Urban (Bossaso),urb,Point,SO1601,Bossaso,SO16,Bari,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1465,87143416,C,"Bari Urban IDPs (Bandarbeyla, Caluula, Iskushuban, Qandala and Qardho)",idp,Point,SO1604,Iskushuban,SO16,Bari,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1466,87143416,C,Bari Urban IDPs (Bossaso),idp,Point,SO1601,Bossaso,SO16,Bari,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1469,87143416,C,Bay Southern Inland Pastoral,polygon,MultiPolygon,SO2402,Buur Hakaba,SO24,Bay,2073.030997,km2,11.500212,99.769903,polygon_overlap_multi_district,True,True,Equal-area intersection in EPSG:6933; no label assignment is implied.
1469,87143416,C,Bay Southern Inland Pastoral,polygon,MultiPolygon,SO2403,Diinsoor,SO24,Bay,4.641924,km2,0.047708,0.223404,polygon_overlap_multi_district,True,True,Equal-area intersection in EPSG:6933; no label assignment is implied.
1469,87143416,C,Bay Southern Inland Pastoral,polygon,MultiPolygon,SO2304,Kurtunwaarey,SO23,Lower Shabelle,0.035641,km2,0.0014,0.001715,boundary_sliver_preserved,True,False,Equal-area intersection in EPSG:6933; no label assignment is implied.
1469,87143416,C,Bay Southern Inland Pastoral,polygon,MultiPolygon,SO2305,Qoryooley,SO23,Lower Shabelle,0.078128,km2,0.002431,0.00376,boundary_sliver_preserved,True,False,Equal-area intersection in EPSG:6933; no label assignment is implied.
1469,87143416,C,Bay Southern Inland Pastoral,polygon,MultiPolygon,SO2306,Sablaale,SO23,Lower Shabelle,1e-05,km2,0.0,0.0,boundary_sliver_preserved,True,False,Equal-area intersection in EPSG:6933; no label assignment is implied.
1469,87143416,C,Bay Southern Inland Pastoral,polygon,MultiPolygon,SO2307,Wanla Weyn,SO23,Lower Shabelle,0.025283,km2,0.000443,0.001217,boundary_sliver_preserved,True,False,Equal-area intersection in EPSG:6933; no label assignment is implied.
1470,87143416,C,Bay Urban (Baydhaba),urb,Point,SO2401,Baydhaba,SO24,Bay,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
1471,87143416,C,"Bay Urban (Bur Hakaba, Diinsor and Qansax Dheere)",urb,Point,SO2402,Buur Hakaba,SO24,Bay,,,,,reference_point_within_district_not_area_mapping,True,False,District contains the supplied IPC reference point only; this does not prove that the IPC population or label belongs to that district.
