Date of analysis,Country,Total country population,Validity period,From,To,Phase,Number,Percentage,source_file,assessment_period_type,Level 1,Area
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,all,19442156,1.0,ipc_som_national_long.csv,current,,
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,3+,6030278,0.31,ipc_som_national_long.csv,current,,
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,1,5686108,0.29,ipc_som_national_long.csv,current,,
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,2,7725794,0.4,ipc_som_national_long.csv,current,,
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,3,4154332,0.21,ipc_som_national_long.csv,current,,
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,4,1875950,0.1,ipc_som_national_long.csv,current,,
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,5,0,0.0,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,all,19442156,1.0,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,3+,4796831,0.25,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,1,7247976,0.37,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,2,7397357,0.38,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,3,3633665,0.19,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,4,1163177,0.06,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,5,0,0.0,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,all,19442156,1.0,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,3+,6490025,0.33,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,1,5201596,0.27,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,2,7750553,0.4,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,3,4457308,0.23,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,4,2032720,0.1,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,5,0,0.0,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,all,19442156,1.0,ipc_som_national_long.csv,second projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,3+,5521448,0.28,ipc_som_national_long.csv,second projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,1,6312451,0.32,ipc_som_national_long.csv,second projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,2,7608275,0.39,ipc_som_national_long.csv,second projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,3,3928930,0.2,ipc_som_national_long.csv,second projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,4,1592525,0.08,ipc_som_national_long.csv,second projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,5,0,0.0,ipc_som_national_long.csv,second projection,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,all,19442155,1.0,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,3+,4796826,0.25,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,1,7247971,0.37,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,2,7397358,0.38,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,3,3633655,0.19,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,4,1163171,0.06,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,5,0,0.0,ipc_som_national_long.csv,current,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,all,19442155,1.0,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,3+,6490015,0.33,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,1,5201593,0.27,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,2,7750547,0.4,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,3,4457298,0.23,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,4,2032717,0.1,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,5,0,0.0,ipc_som_national_long.csv,first projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,all,19442155,1.0,ipc_som_national_long.csv,second projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,3+,5521444,0.28,ipc_som_national_long.csv,second projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,1,6312446,0.32,ipc_som_national_long.csv,second projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,2,7608265,0.39,ipc_som_national_long.csv,second projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,3,3928922,0.2,ipc_som_national_long.csv,second projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,4,1592522,0.08,ipc_som_national_long.csv,second projection,,
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,5,0,0.0,ipc_som_national_long.csv,second projection,,
Jul 2025,SOM,19280850,current,2025-07-01,2025-09-30,all,19280850,1.0,ipc_som_national_long.csv,current,,
Jul 2025,SOM,19280850,current,2025-07-01,2025-09-30,3+,3423255,0.18,ipc_som_national_long.csv,current,,
Jul 2025,SOM,19280850,current,2025-07-01,2025-09-30,1,9576841,0.5,ipc_som_national_long.csv,current,,
Jul 2025,SOM,19280850,current,2025-07-01,2025-09-30,2,6280754,0.33,ipc_som_national_long.csv,current,,
Jul 2025,SOM,19280850,current,2025-07-01,2025-09-30,3,2799645,0.15,ipc_som_national_long.csv,current,,
Jul 2025,SOM,19280850,current,2025-07-01,2025-09-30,4,623610,0.03,ipc_som_national_long.csv,current,,
Jul 2025,SOM,19280850,current,2025-07-01,2025-09-30,5,0,0.0,ipc_som_national_long.csv,current,,
Jul 2025,SOM,19280850,first projection,2025-10-01,2025-12-31,all,19280850,1.0,ipc_som_national_long.csv,first projection,,
Jul 2025,SOM,19280850,first projection,2025-10-01,2025-12-31,3+,4351253,0.23,ipc_som_national_long.csv,first projection,,
Jul 2025,SOM,19280850,first projection,2025-10-01,2025-12-31,1,7965319,0.41,ipc_som_national_long.csv,first projection,,
Jul 2025,SOM,19280850,first projection,2025-10-01,2025-12-31,2,6964278,0.36,ipc_som_national_long.csv,first projection,,
Jul 2025,SOM,19280850,first projection,2025-10-01,2025-12-31,3,3430085,0.18,ipc_som_national_long.csv,first projection,,
Jul 2025,SOM,19280850,first projection,2025-10-01,2025-12-31,4,921168,0.05,ipc_som_national_long.csv,first projection,,
Jul 2025,SOM,19280850,first projection,2025-10-01,2025-12-31,5,0,0.0,ipc_som_national_long.csv,first projection,,
Mar 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,all,19280850,1.0,ipc_som_national_long.csv,first projection,,
Mar 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,3+,4551000,0.24,ipc_som_national_long.csv,first projection,,
Mar 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,1,7740000,0.4,ipc_som_national_long.csv,first projection,,
Mar 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,2,6991000,0.36,ipc_som_national_long.csv,first projection,,
Mar 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,3,3767000,0.2,ipc_som_national_long.csv,first projection,,
Mar 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,4,784000,0.04,ipc_som_national_long.csv,first projection,,
Mar 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,5,0,0.0,ipc_som_national_long.csv,first projection,,
Jan 2025,SOM,19280850,current,2025-01-01,2025-03-31,all,19280850,1.0,ipc_som_national_long.csv,current,,
Jan 2025,SOM,19280850,current,2025-01-01,2025-03-31,3+,3396180,0.17,ipc_som_national_long.csv,current,,
Jan 2025,SOM,19280850,current,2025-01-01,2025-03-31,1,9358460,0.49,ipc_som_national_long.csv,current,,
Jan 2025,SOM,19280850,current,2025-01-01,2025-03-31,2,6526160,0.34,ipc_som_national_long.csv,current,,
Jan 2025,SOM,19280850,current,2025-01-01,2025-03-31,3,2953750,0.15,ipc_som_national_long.csv,current,,
Jan 2025,SOM,19280850,current,2025-01-01,2025-03-31,4,442430,0.02,ipc_som_national_long.csv,current,,
Jan 2025,SOM,19280850,current,2025-01-01,2025-03-31,5,0,0.0,ipc_som_national_long.csv,current,,
Jan 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,all,19280850,1.0,ipc_som_national_long.csv,first projection,,
Jan 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,3+,4389160,0.23,ipc_som_national_long.csv,first projection,,
Jan 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,1,7944980,0.41,ipc_som_national_long.csv,first projection,,
Jan 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,2,6946740,0.36,ipc_som_national_long.csv,first projection,,
Jan 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,3,3648560,0.19,ipc_som_national_long.csv,first projection,,
Jan 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,4,740600,0.04,ipc_som_national_long.csv,first projection,,
Jan 2025,SOM,19280850,first projection,2025-04-01,2025-06-30,5,0,0.0,ipc_som_national_long.csv,first projection,,
Aug 2024,SOM,18706931,current,2024-07-01,2024-09-30,all,18706931,1.0,ipc_som_national_long.csv,current,,
Aug 2024,SOM,18706931,current,2024-07-01,2024-09-30,3+,3579520,0.19,ipc_som_national_long.csv,current,,
Aug 2024,SOM,18706931,current,2024-07-01,2024-09-30,1,9074100,0.49,ipc_som_national_long.csv,current,,
Aug 2024,SOM,18706931,current,2024-07-01,2024-09-30,2,6053300,0.32,ipc_som_national_long.csv,current,,
Aug 2024,SOM,18706931,current,2024-07-01,2024-09-30,3,2855310,0.15,ipc_som_national_long.csv,current,,
Aug 2024,SOM,18706931,current,2024-07-01,2024-09-30,4,724210,0.04,ipc_som_national_long.csv,current,,
Aug 2024,SOM,18706931,current,2024-07-01,2024-09-30,5,0,0.0,ipc_som_national_long.csv,current,,
Aug 2024,SOM,18706931,first projection,2024-10-01,2024-12-31,all,18706931,1.0,ipc_som_national_long.csv,first projection,,
Aug 2024,SOM,18706931,first projection,2024-10-01,2024-12-31,3+,4388110,0.23,ipc_som_national_long.csv,first projection,,
Aug 2024,SOM,18706931,first projection,2024-10-01,2024-12-31,1,7784850,0.42,ipc_som_national_long.csv,first projection,,
Aug 2024,SOM,18706931,first projection,2024-10-01,2024-12-31,2,6533970,0.35,ipc_som_national_long.csv,first projection,,
Aug 2024,SOM,18706931,first projection,2024-10-01,2024-12-31,3,3406440,0.18,ipc_som_national_long.csv,first projection,,
Aug 2024,SOM,18706931,first projection,2024-10-01,2024-12-31,4,981670,0.05,ipc_som_national_long.csv,first projection,,
Aug 2024,SOM,18706931,first projection,2024-10-01,2024-12-31,5,0,0.0,ipc_som_national_long.csv,first projection,,
Jan 2024,SOM,18706931,current,2024-01-01,2024-03-31,all,18706931,1.0,ipc_som_national_long.csv,current,,
Jan 2024,SOM,18706931,current,2024-01-01,2024-03-31,3+,4008110,0.21,ipc_som_national_long.csv,current,,
Jan 2024,SOM,18706931,current,2024-01-01,2024-03-31,1,8596160,0.46,ipc_som_national_long.csv,current,,
Jan 2024,SOM,18706931,current,2024-01-01,2024-03-31,2,6102650,0.33,ipc_som_national_long.csv,current,,
Jan 2024,SOM,18706931,current,2024-01-01,2024-03-31,3,3206080,0.17,ipc_som_national_long.csv,current,,
Jan 2024,SOM,18706931,current,2024-01-01,2024-03-31,4,802030,0.04,ipc_som_national_long.csv,current,,
Jan 2024,SOM,18706931,current,2024-01-01,2024-03-31,5,0,0.0,ipc_som_national_long.csv,current,,
Jan 2024,SOM,18706931,first projection,2024-04-01,2024-06-30,all,18706931,1.0,ipc_som_national_long.csv,first projection,,
Jan 2024,SOM,18706931,first projection,2024-04-01,2024-06-30,3+,3410240,0.18,ipc_som_national_long.csv,first projection,,
Jan 2024,SOM,18706931,first projection,2024-04-01,2024-06-30,1,9291210,0.5,ipc_som_national_long.csv,first projection,,
Jan 2024,SOM,18706931,first projection,2024-04-01,2024-06-30,2,6005450,0.32,ipc_som_national_long.csv,first projection,,
Jan 2024,SOM,18706931,first projection,2024-04-01,2024-06-30,3,2695880,0.14,ipc_som_national_long.csv,first projection,,
Jan 2024,SOM,18706931,first projection,2024-04-01,2024-06-30,4,714360,0.04,ipc_som_national_long.csv,first projection,,
Jan 2024,SOM,18706931,first projection,2024-04-01,2024-06-30,5,0,0.0,ipc_som_national_long.csv,first projection,,
Aug 2023,SOM,16955266,current,2023-08-01,2023-09-30,all,16955266,1.0,ipc_som_national_long.csv,current,,
Aug 2023,SOM,16955266,current,2023-08-01,2023-09-30,3+,3733010,0.22,ipc_som_national_long.csv,current,,
Aug 2023,SOM,16955266,current,2023-08-01,2023-09-30,1,7619546,0.45,ipc_som_national_long.csv,current,,
Aug 2023,SOM,16955266,current,2023-08-01,2023-09-30,2,5602710,0.33,ipc_som_national_long.csv,current,,
Aug 2023,SOM,16955266,current,2023-08-01,2023-09-30,3,2813980,0.17,ipc_som_national_long.csv,current,,
Aug 2023,SOM,16955266,current,2023-08-01,2023-09-30,4,919030,0.05,ipc_som_national_long.csv,current,,
Aug 2023,SOM,16955266,current,2023-08-01,2023-09-30,5,0,0.0,ipc_som_national_long.csv,current,,
Aug 2023,SOM,16955266,first projection,2023-10-01,2023-12-31,all,16955266,1.0,ipc_som_national_long.csv,first projection,,
Aug 2023,SOM,16955266,first projection,2023-10-01,2023-12-31,3+,4294870,0.25,ipc_som_national_long.csv,first projection,,
Aug 2023,SOM,16955266,first projection,2023-10-01,2023-12-31,1,6762826,0.4,ipc_som_national_long.csv,first projection,,
Aug 2023,SOM,16955266,first projection,2023-10-01,2023-12-31,2,5897570,0.35,ipc_som_national_long.csv,first projection,,
Aug 2023,SOM,16955266,first projection,2023-10-01,2023-12-31,3,3280770,0.19,ipc_som_national_long.csv,first projection,,
Aug 2023,SOM,16955266,first projection,2023-10-01,2023-12-31,4,1014100,0.06,ipc_som_national_long.csv,first projection,,
Aug 2023,SOM,16955266,first projection,2023-10-01,2023-12-31,5,0,0.0,ipc_som_national_long.csv,first projection,,
Apr 2023,SOM,16955266,current,2023-03-01,2023-03-31,all,16955266,1.0,ipc_som_national_long.csv,current,,
Apr 2023,SOM,16955266,current,2023-03-01,2023-03-31,3+,5027420,0.3,ipc_som_national_long.csv,current,,
Apr 2023,SOM,16955266,current,2023-03-01,2023-03-31,1,8784221,0.52,ipc_som_national_long.csv,current,,
Apr 2023,SOM,16955266,current,2023-03-01,2023-03-31,2,3143771,0.19,ipc_som_national_long.csv,current,,
Apr 2023,SOM,16955266,current,2023-03-01,2023-03-31,3,3702110,0.22,ipc_som_national_long.csv,current,,
Apr 2023,SOM,16955266,current,2023-03-01,2023-03-31,4,1320340,0.08,ipc_som_national_long.csv,current,,
Apr 2023,SOM,16955266,current,2023-03-01,2023-03-31,5,4970,0.0,ipc_som_national_long.csv,current,,
Apr 2023,SOM,16955266,first projection,2023-04-01,2023-06-30,all,16955266,1.0,ipc_som_national_long.csv,first projection,,
Apr 2023,SOM,16955266,first projection,2023-04-01,2023-06-30,3+,6583230,0.39,ipc_som_national_long.csv,first projection,,
Apr 2023,SOM,16955266,first projection,2023-04-01,2023-06-30,1,7101650,0.42,ipc_som_national_long.csv,first projection,,
Apr 2023,SOM,16955266,first projection,2023-04-01,2023-06-30,2,3270434,0.19,ipc_som_national_long.csv,first projection,,
Apr 2023,SOM,16955266,first projection,2023-04-01,2023-06-30,3,4688500,0.28,ipc_som_national_long.csv,first projection,,
Apr 2023,SOM,16955266,first projection,2023-04-01,2023-06-30,4,1854380,0.11,ipc_som_national_long.csv,first projection,,
Apr 2023,SOM,16955266,first projection,2023-04-01,2023-06-30,5,40350,0.0,ipc_som_national_long.csv,first projection,,
Feb 2023,SOM,16955266,current,2023-01-01,2023-03-31,all,16955266,1.0,ipc_som_national_long.csv,current,,
Feb 2023,SOM,16955266,current,2023-01-01,2023-03-31,3+,4984940,0.3,ipc_som_national_long.csv,current,,
Feb 2023,SOM,16955266,current,2023-01-01,2023-03-31,1,8835532,0.52,ipc_som_national_long.csv,current,,
