source_admin1,source_admin2,market_id,market_name,latitude,longitude,canonical_district_id,canonical_district_name,resolution_method,source_label_status,status,review_required
Banadir,Banadir,2104,Karaan,2.07,45.39,SO2208,Heliwa,market_coordinate_point_in_polygon,provider_admin2_duplicates_admin1_not_canonical_district,POINT_RESOLVED_SOURCE_LABEL_QUARANTINED,False
Banadir,Banadir,6630,Boondheere,2.05,45.34,SO2201,Bondhere,market_coordinate_point_in_polygon,provider_admin2_duplicates_admin1_not_canonical_district,POINT_RESOLVED_SOURCE_LABEL_QUARANTINED,False
Banadir,Banadir,6631,Cabdulcasiis,2.04,45.36,SO2202,Cabdulasis,market_coordinate_point_in_polygon,provider_admin2_duplicates_admin1_not_canonical_district,POINT_RESOLVED_SOURCE_LABEL_QUARANTINED,False
Banadir,Banadir,6634,Bakaara,2.05,45.32,SO2207,Hawl Wadaag,market_coordinate_point_in_polygon,provider_admin2_duplicates_admin1_not_canonical_district,POINT_RESOLVED_SOURCE_LABEL_QUARANTINED,False
Banadir,Banadir,6635,Suuqa Xoolaha,2.08,45.39,SO2208,Heliwa,market_coordinate_point_in_polygon,provider_admin2_duplicates_admin1_not_canonical_district,POINT_RESOLVED_SOURCE_LABEL_QUARANTINED,False
Banadir,Banadir,6637,Shangaani,2.04,45.35,SO2212,Shangaani,market_coordinate_point_in_polygon,provider_admin2_duplicates_admin1_not_canonical_district,POINT_RESOLVED_SOURCE_LABEL_QUARANTINED,False
Banadir,Banadir,6638,Suuqa Liberia/Suuqa Beerta,2.02,45.31,SO2214,Waaberi,market_coordinate_point_in_polygon,provider_admin2_duplicates_admin1_not_canonical_district,POINT_RESOLVED_SOURCE_LABEL_QUARANTINED,False
Banadir,Banadir,6639,Xamar Jajab,2.03,45.33,SO2205,Hamar Jabjab,market_coordinate_point_in_polygon,provider_admin2_duplicates_admin1_not_canonical_district,POINT_RESOLVED_SOURCE_LABEL_QUARANTINED,False
Banadir,Banadir,6640,Xamar Weyne,2.03,45.34,SO2206,Hamar Weyne,market_coordinate_point_in_polygon,provider_admin2_duplicates_admin1_not_canonical_district,POINT_RESOLVED_SOURCE_LABEL_QUARANTINED,False
Banadir,Banadir,6641,Suuq Bacaad,2.07,45.35,SO2217,Yaaqshid,market_coordinate_point_in_polygon,provider_admin2_duplicates_admin1_not_canonical_district,POINT_RESOLVED_SOURCE_LABEL_QUARANTINED,False
