date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,canonical_region_id,canonical_district_id,source_dataset
1995-01-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,700.0,0.27,SO22,,WFP Somalia Food Prices via HDX
1995-02-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,525.0,0.2,SO22,,WFP Somalia Food Prices via HDX
1995-03-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,600.0,0.23,SO22,,WFP Somalia Food Prices via HDX
1995-04-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,900.0,0.34,SO22,,WFP Somalia Food Prices via HDX
1995-05-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1025.0,0.39,SO22,,WFP Somalia Food Prices via HDX
1995-06-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1100.0,0.42,SO22,,WFP Somalia Food Prices via HDX
1995-07-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1400.0,0.53,SO22,,WFP Somalia Food Prices via HDX
1995-07-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,3000.0,1.15,SO16,SO1601,WFP Somalia Food Prices via HDX
1995-07-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,3500.0,1.34,SO16,SO1601,WFP Somalia Food Prices via HDX
1995-07-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,3000.0,1.15,SO16,SO1601,WFP Somalia Food Prices via HDX
1995-07-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1650.0,0.63,SO24,SO2401,WFP Somalia Food Prices via HDX
1995-07-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,3200.0,1.22,SO24,SO2401,WFP Somalia Food Prices via HDX
1995-07-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,850.0,0.32,SO24,SO2401,WFP Somalia Food Prices via HDX
1995-08-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,3000.0,1.15,SO16,SO1601,WFP Somalia Food Prices via HDX
1995-08-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,3500.0,1.34,SO16,SO1601,WFP Somalia Food Prices via HDX
1995-08-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,3000.0,1.15,SO16,SO1601,WFP Somalia Food Prices via HDX
1995-08-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1250.0,0.48,SO24,SO2401,WFP Somalia Food Prices via HDX
1995-08-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,3350.0,1.28,SO24,SO2401,WFP Somalia Food Prices via HDX
1995-08-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,800.0,0.31,SO24,SO2401,WFP Somalia Food Prices via HDX
1995-09-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1000.0,0.38,SO24,SO2401,WFP Somalia Food Prices via HDX
1995-09-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,800.0,0.31,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-01-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,130.0,0.05,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-01-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,240.0,0.092,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-01-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,150.0,0.057,SO11,SO1101,WFP Somalia Food Prices via HDX
