reference_year,canonical_region_id,canonical_region_name,canonical_district_id,canonical_district_name,district_population,district_area_km2,population_density_per_km2,valid_raster_pixels
2025,SO11,Awdal,SO1102,Baki,68710.031,3421.098,20.084,12526
2025,SO11,Awdal,SO1101,Borama,443194.656,3086.983,143.569,36518
2025,SO11,Awdal,SO1103,Lughaye,74691.516,3337.343,22.381,1818
2025,SO11,Awdal,SO1104,Zeylac,66585.359,6039.529,11.025,9669
2025,SO25,Bakool,SO2502,Ceel Barde,87629.57,7665.779,11.431,3025
2025,SO25,Bakool,SO2505,Rab Dhuure,91368.469,3301.715,27.673,25372
2025,SO25,Bakool,SO2503,Tayeeglow,171616.016,6595.167,26.021,16976
2025,SO25,Bakool,SO2504,Waajid,93101.664,2803.517,33.209,4798
2025,SO25,Bakool,SO2501,Xudur,119454.906,5431.613,21.993,29088
2025,SO22,Banadir,SO2201,Bondhere,50111.906,1.401,35776.354,165
2025,SO22,Banadir,SO2202,Cabdulasis,28823.551,0.97,29710.409,114
2025,SO22,Banadir,SO2203,Daynile,505210.188,46.933,10764.386,5321
2025,SO22,Banadir,SO2204,Dharkenley,205986.719,23.482,8772.236,2150
2025,SO22,Banadir,SO2205,Hamar Jabjab,51864.945,1.852,28009.267,200
2025,SO22,Banadir,SO2206,Hamar Weyne,28368.617,0.852,33280.07,100
2025,SO22,Banadir,SO2207,Hawl Wadaag,134763.609,3.885,34684.608,456
2025,SO22,Banadir,SO2208,Heliwa,350552.625,21.879,16022.156,2410
2025,SO22,Banadir,SO2209,Hodan,202269.281,6.388,31666.223,745
2025,SO22,Banadir,SO2210,Kahda,224672.969,27.606,8138.41,3090
2025,SO22,Banadir,SO2211,Karaan,255619.969,15.31,16695.778,1566
2025,SO22,Banadir,SO2212,Shangaani,16011.617,0.548,29210.58,66
2025,SO22,Banadir,SO2213,Shibis,69824.867,2.086,33479.217,242
2025,SO22,Banadir,Unspecified,Unspecified,288344.688,142.632,2021.594,7909
2025,SO22,Banadir,SO2214,Waaberi,122501.852,5.911,20725.315,692
2025,SO22,Banadir,SO2215,Wadajir (Medina),387167.875,14.565,26581.96,1689
2025,SO22,Banadir,SO2216,Wardhigley,175108.75,5.253,33332.877,613
2025,SO22,Banadir,SO2217,Yaaqshid,195648.156,5.798,33744.629,681
2025,SO16,Bari,SO1602,Bandarbeyla,39622.098,11290.567,3.509,3205
2025,SO16,Bari,SO1601,Bossaso,802999.062,7879.006,101.916,14591
2025,SO16,Bari,SO1603,Caluula,66496.609,4529.221,14.682,3734
2025,SO16,Bari,SO1604,Iskushuban,61618.594,18350.496,3.358,8013
2025,SO16,Bari,SO1605,Qandala,62819.422,7395.982,8.494,7832
2025,SO16,Bari,SO1606,Qardho,175103.156,18631.68,9.398,20156
2025,SO24,Bay,SO2401,Baydhaba,762467.75,12909.935,59.061,71035
2025,SO24,Bay,SO2402,Buur Hakaba,212254.406,18026.007,11.775,59471
2025,SO24,Bay,SO2403,Diinsoor,180599.812,9730.001,18.561,43005
2025,SO24,Bay,SO2404,Qansax Dheere,141658.938,3265.564,43.38,25042
2025,SO19,Galgaduud,SO1902,Cabudwaaq,197484.156,6408.928,30.814,51435
2025,SO19,Galgaduud,SO1903,Cadaado,141296.625,6449.37,21.909,31476
2025,SO19,Galgaduud,SO1904,Ceel Buur,112914.188,13354.482,8.455,60482
2025,SO19,Galgaduud,SO1905,Ceel Dheer,109362.281,10366.538,10.55,33921
2025,SO19,Galgaduud,SO1901,Dhuusamarreeb,260461.625,12700.833,20.507,52227
2025,SO26,Gedo,SO2602,Baardheere,211489.172,15272.097,13.848,24678
2025,SO26,Gedo,SO2603,Belet Xaawo,175685.688,3805.023,46.172,16219
2025,SO26,Gedo,SO2604,Ceel Waaq,101679.805,7768.521,13.089,10187
2025,SO26,Gedo,SO2605,Doolow,94299.75,1619.477,58.229,24335
2025,SO26,Gedo,SO2601,Garbahaarey,154050.047,8323.912,18.507,30975
2025,SO26,Gedo,SO2606,Luuq,146401.578,8267.669,17.708,56323
2025,SO20,Hiraan,SO2001,Belet Weyne,348532.312,14684.109,23.735,76073
2025,SO20,Hiraan,SO2002,Bulo Burto,104658.766,16046.921,6.522,68732
2025,SO20,Hiraan,SO2003,Jalalaqsi,66521.195,3122.672,21.303,15503
2025,SO28,Lower Juba,SO2802,Afmadow,284439.688,26757.501,10.63,25776
