reference_year,canonical_region_id,canonical_region_name,region_population
2025,SO11,Awdal,653181.562
2025,SO12,Woqooyi Galbeed,1491844.922
2025,SO13,Togdheer,888844.344
2025,SO14,Sool,570530.664
2025,SO15,Sanaag,442544.062
2025,SO16,Bari,1208658.941
2025,SO17,Nugaal,654037.735
2025,SO18,Mudug,1520143.844
2025,SO19,Galgaduud,821518.875
2025,SO20,Hiraan,519712.273
2025,SO21,Middle Shabelle,1053066.297
2025,SO22,Banadir,3292852.184
2025,SO23,Lower Shabelle,1655323.367
2025,SO24,Bay,1296980.906
2025,SO25,Bakool,563170.625
2025,SO26,Gedo,883606.04
2025,SO27,Middle Juba,447016.219
2025,SO28,Lower Juba,1176546.937
