date,station_id,station_name,river,level_m,canonical_district_id,canonical_region_id,id,station_number,source_file
2026-08-25,SH001,Belet Weyne,Shabelle,3.84,SO2001,SO20,224302,sh001,snrfa_level_data.csv
2026-08-24,SH001,Belet Weyne,Shabelle,3.99,SO2001,SO20,224295,sh001,snrfa_level_data.csv
2026-08-23,SH001,Belet Weyne,Shabelle,3.98,SO2001,SO20,224288,sh001,snrfa_level_data.csv
2026-08-22,SH001,Belet Weyne,Shabelle,3.88,SO2001,SO20,224281,sh001,snrfa_level_data.csv
2026-08-21,SH001,Belet Weyne,Shabelle,3.6,SO2001,SO20,224274,sh001,snrfa_level_data.csv
2026-08-20,SH001,Belet Weyne,Shabelle,3.38,SO2001,SO20,224267,sh001,snrfa_level_data.csv
2026-08-19,SH001,Belet Weyne,Shabelle,3.15,SO2001,SO20,224260,sh001,snrfa_level_data.csv
2026-08-18,SH001,Belet Weyne,Shabelle,2.85,SO2001,SO20,224253,sh001,snrfa_level_data.csv
2026-08-17,SH001,Belet Weyne,Shabelle,2.8,SO2001,SO20,224246,sh001,snrfa_level_data.csv
2026-08-16,SH001,Belet Weyne,Shabelle,2.84,SO2001,SO20,224239,sh001,snrfa_level_data.csv
2026-08-15,SH001,Belet Weyne,Shabelle,2.84,SO2001,SO20,224232,sh001,snrfa_level_data.csv
2026-08-14,SH001,Belet Weyne,Shabelle,,SO2001,SO20,224225,sh001,snrfa_level_data.csv
2026-08-13,SH001,Belet Weyne,Shabelle,2.96,SO2001,SO20,224218,sh001,snrfa_level_data.csv
2026-08-12,SH001,Belet Weyne,Shabelle,3.0,SO2001,SO20,224211,sh001,snrfa_level_data.csv
2026-08-11,SH001,Belet Weyne,Shabelle,2.98,SO2001,SO20,224204,sh001,snrfa_level_data.csv
2026-08-10,SH001,Belet Weyne,Shabelle,2.82,SO2001,SO20,224197,sh001,snrfa_level_data.csv
2026-08-09,SH001,Belet Weyne,Shabelle,2.49,SO2001,SO20,224190,sh001,snrfa_level_data.csv
2026-08-08,SH001,Belet Weyne,Shabelle,2.35,SO2001,SO20,224183,sh001,snrfa_level_data.csv
2026-08-07,SH001,Belet Weyne,Shabelle,,SO2001,SO20,224176,sh001,snrfa_level_data.csv
2026-08-06,SH001,Belet Weyne,Shabelle,2.42,SO2001,SO20,224169,sh001,snrfa_level_data.csv
2026-08-05,SH001,Belet Weyne,Shabelle,2.45,SO2001,SO20,224162,sh001,snrfa_level_data.csv
2026-08-04,SH001,Belet Weyne,Shabelle,2.4,SO2001,SO20,224155,sh001,snrfa_level_data.csv
2026-08-03,SH001,Belet Weyne,Shabelle,2.36,SO2001,SO20,224148,sh001,snrfa_level_data.csv
2026-08-02,SH001,Belet Weyne,Shabelle,2.32,SO2001,SO20,224141,sh001,snrfa_level_data.csv
2026-08-01,SH001,Belet Weyne,Shabelle,2.35,SO2001,SO20,224134,sh001,snrfa_level_data.csv
2026-07-31,SH001,Belet Weyne,Shabelle,2.35,SO2001,SO20,224127,sh001,snrfa_level_data.csv
2026-07-30,SH001,Belet Weyne,Shabelle,2.38,SO2001,SO20,224120,sh001,snrfa_level_data.csv
2026-07-29,SH001,Belet Weyne,Shabelle,2.4,SO2001,SO20,224113,sh001,snrfa_level_data.csv
2026-07-28,SH001,Belet Weyne,Shabelle,2.46,SO2001,SO20,224106,sh001,snrfa_level_data.csv
2026-07-27,SH001,Belet Weyne,Shabelle,2.48,SO2001,SO20,224099,sh001,snrfa_level_data.csv
2026-07-26,SH001,Belet Weyne,Shabelle,2.48,SO2001,SO20,224092,sh001,snrfa_level_data.csv
2026-07-25,SH001,Belet Weyne,Shabelle,2.38,SO2001,SO20,224085,sh001,snrfa_level_data.csv
2026-07-24,SH001,Belet Weyne,Shabelle,2.28,SO2001,SO20,224078,sh001,snrfa_level_data.csv
2026-07-23,SH001,Belet Weyne,Shabelle,2.3,SO2001,SO20,224071,sh001,snrfa_level_data.csv
2026-07-22,SH001,Belet Weyne,Shabelle,2.32,SO2001,SO20,224064,sh001,snrfa_level_data.csv
2026-07-21,SH001,Belet Weyne,Shabelle,2.36,SO2001,SO20,224057,sh001,snrfa_level_data.csv
2026-07-20,SH001,Belet Weyne,Shabelle,2.4,SO2001,SO20,224050,sh001,snrfa_level_data.csv
2026-07-19,SH001,Belet Weyne,Shabelle,2.4,SO2001,SO20,224043,sh001,snrfa_level_data.csv
2026-07-18,SH001,Belet Weyne,Shabelle,2.5,SO2001,SO20,224036,sh001,snrfa_level_data.csv
2026-07-17,SH001,Belet Weyne,Shabelle,2.54,SO2001,SO20,224029,sh001,snrfa_level_data.csv
2026-07-16,SH001,Belet Weyne,Shabelle,2.62,SO2001,SO20,224022,sh001,snrfa_level_data.csv
2026-07-15,SH001,Belet Weyne,Shabelle,2.7,SO2001,SO20,224015,sh001,snrfa_level_data.csv
2026-07-14,SH001,Belet Weyne,Shabelle,2.78,SO2001,SO20,224008,sh001,snrfa_level_data.csv
2026-07-13,SH001,Belet Weyne,Shabelle,2.8,SO2001,SO20,224001,sh001,snrfa_level_data.csv
2026-07-12,SH001,Belet Weyne,Shabelle,2.82,SO2001,SO20,223994,sh001,snrfa_level_data.csv
2026-07-11,SH001,Belet Weyne,Shabelle,2.86,SO2001,SO20,223987,sh001,snrfa_level_data.csv
2026-07-10,SH001,Belet Weyne,Shabelle,2.9,SO2001,SO20,223980,sh001,snrfa_level_data.csv
