Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
Jan 2026,SOM,19442156,Bakool,current,2026-01-01,2026-01-31,all,564958,1.0
Jan 2026,SOM,19442156,Bakool,current,2026-01-01,2026-01-31,3+,134811,0.24
Jan 2026,SOM,19442156,Bakool,current,2026-01-01,2026-01-31,1,209492,0.37
Jan 2026,SOM,19442156,Bakool,current,2026-01-01,2026-01-31,2,220655,0.39
Jan 2026,SOM,19442156,Bakool,current,2026-01-01,2026-01-31,3,106317,0.19
Jan 2026,SOM,19442156,Bakool,current,2026-01-01,2026-01-31,4,28493,0.05
Jan 2026,SOM,19442156,Bakool,current,2026-01-01,2026-01-31,5,0,0
Jan 2026,SOM,19442156,Bakool,first projection,2026-02-01,2026-03-31,all,564958,1.0
Jan 2026,SOM,19442156,Bakool,first projection,2026-02-01,2026-03-31,3+,178898,0.31
Jan 2026,SOM,19442156,Bakool,first projection,2026-02-01,2026-03-31,1,163780,0.29
Jan 2026,SOM,19442156,Bakool,first projection,2026-02-01,2026-03-31,2,222280,0.39
Jan 2026,SOM,19442156,Bakool,first projection,2026-02-01,2026-03-31,3,121016,0.21
Jan 2026,SOM,19442156,Bakool,first projection,2026-02-01,2026-03-31,4,57882,0.1
Jan 2026,SOM,19442156,Bakool,first projection,2026-02-01,2026-03-31,5,0,0
Jan 2026,SOM,19442156,Bakool,second projection,2026-04-01,2026-06-30,all,564958,1.0
Jan 2026,SOM,19442156,Bakool,second projection,2026-04-01,2026-06-30,3+,140176,0.25
Jan 2026,SOM,19442156,Bakool,second projection,2026-04-01,2026-06-30,1,199615,0.35
Jan 2026,SOM,19442156,Bakool,second projection,2026-04-01,2026-06-30,2,225166,0.4
Jan 2026,SOM,19442156,Bakool,second projection,2026-04-01,2026-06-30,3,99005,0.18
Jan 2026,SOM,19442156,Bakool,second projection,2026-04-01,2026-06-30,4,41172,0.07
Jan 2026,SOM,19442156,Bakool,second projection,2026-04-01,2026-06-30,5,0,0
Jan 2026,SOM,19442156,Middle Shabelle,current,2026-01-01,2026-01-31,all,1053608,1.0
Jan 2026,SOM,19442156,Middle Shabelle,current,2026-01-01,2026-01-31,3+,267958,0.25
Jan 2026,SOM,19442156,Middle Shabelle,current,2026-01-01,2026-01-31,1,403121,0.38
Jan 2026,SOM,19442156,Middle Shabelle,current,2026-01-01,2026-01-31,2,382529,0.36
Jan 2026,SOM,19442156,Middle Shabelle,current,2026-01-01,2026-01-31,3,213001,0.2
Jan 2026,SOM,19442156,Middle Shabelle,current,2026-01-01,2026-01-31,4,54957,0.05
Jan 2026,SOM,19442156,Middle Shabelle,current,2026-01-01,2026-01-31,5,0,0
Jan 2026,SOM,19442156,Middle Shabelle,first projection,2026-02-01,2026-03-31,all,1053608,1.0
Jan 2026,SOM,19442156,Middle Shabelle,first projection,2026-02-01,2026-03-31,3+,361307,0.34
Jan 2026,SOM,19442156,Middle Shabelle,first projection,2026-02-01,2026-03-31,1,263822,0.25
Jan 2026,SOM,19442156,Middle Shabelle,first projection,2026-02-01,2026-03-31,2,428479,0.41
Jan 2026,SOM,19442156,Middle Shabelle,first projection,2026-02-01,2026-03-31,3,261613,0.25
Jan 2026,SOM,19442156,Middle Shabelle,first projection,2026-02-01,2026-03-31,4,99695,0.09
Jan 2026,SOM,19442156,Middle Shabelle,first projection,2026-02-01,2026-03-31,5,0,0
Jan 2026,SOM,19442156,Middle Shabelle,second projection,2026-04-01,2026-06-30,all,1053608,1.0
Jan 2026,SOM,19442156,Middle Shabelle,second projection,2026-04-01,2026-06-30,3+,288672,0.28
Jan 2026,SOM,19442156,Middle Shabelle,second projection,2026-04-01,2026-06-30,1,351673,0.33
Jan 2026,SOM,19442156,Middle Shabelle,second projection,2026-04-01,2026-06-30,2,413263,0.39
Jan 2026,SOM,19442156,Middle Shabelle,second projection,2026-04-01,2026-06-30,3,216204,0.21
Jan 2026,SOM,19442156,Middle Shabelle,second projection,2026-04-01,2026-06-30,4,72468,0.07
Jan 2026,SOM,19442156,Middle Shabelle,second projection,2026-04-01,2026-06-30,5,0,0
Jan 2026,SOM,19442156,Lower Juba,current,2026-01-01,2026-01-31,all,1204269,1.0
Jan 2026,SOM,19442156,Lower Juba,current,2026-01-01,2026-01-31,3+,225197,0.19
Jan 2026,SOM,19442156,Lower Juba,current,2026-01-01,2026-01-31,1,599773,0.5
Jan 2026,SOM,19442156,Lower Juba,current,2026-01-01,2026-01-31,2,379299,0.31
Jan 2026,SOM,19442156,Lower Juba,current,2026-01-01,2026-01-31,3,180821,0.15
Jan 2026,SOM,19442156,Lower Juba,current,2026-01-01,2026-01-31,4,44376,0.04
Jan 2026,SOM,19442156,Lower Juba,current,2026-01-01,2026-01-31,5,0,0
Jan 2026,SOM,19442156,Lower Juba,first projection,2026-02-01,2026-03-31,all,1204269,1.0
Jan 2026,SOM,19442156,Lower Juba,first projection,2026-02-01,2026-03-31,3+,334595,0.28
Jan 2026,SOM,19442156,Lower Juba,first projection,2026-02-01,2026-03-31,1,435584,0.36
Jan 2026,SOM,19442156,Lower Juba,first projection,2026-02-01,2026-03-31,2,434089,0.36
Jan 2026,SOM,19442156,Lower Juba,first projection,2026-02-01,2026-03-31,3,236424,0.2
Jan 2026,SOM,19442156,Lower Juba,first projection,2026-02-01,2026-03-31,4,98171,0.08
Jan 2026,SOM,19442156,Lower Juba,first projection,2026-02-01,2026-03-31,5,0,0
Jan 2026,SOM,19442156,Lower Juba,second projection,2026-04-01,2026-06-30,all,1204269,1.0
Jan 2026,SOM,19442156,Lower Juba,second projection,2026-04-01,2026-06-30,3+,260030,0.21
Jan 2026,SOM,19442156,Lower Juba,second projection,2026-04-01,2026-06-30,1,519603,0.43
Jan 2026,SOM,19442156,Lower Juba,second projection,2026-04-01,2026-06-30,2,424635,0.35
Jan 2026,SOM,19442156,Lower Juba,second projection,2026-04-01,2026-06-30,3,209476,0.17
Jan 2026,SOM,19442156,Lower Juba,second projection,2026-04-01,2026-06-30,4,50554,0.04
Jan 2026,SOM,19442156,Lower Juba,second projection,2026-04-01,2026-06-30,5,0,0
Jan 2026,SOM,19442156,Togdheer,current,2026-01-01,2026-01-31,all,894874,1.0
Jan 2026,SOM,19442156,Togdheer,current,2026-01-01,2026-01-31,3+,154184,0.17
Jan 2026,SOM,19442156,Togdheer,current,2026-01-01,2026-01-31,1,324807,0.36
Jan 2026,SOM,19442156,Togdheer,current,2026-01-01,2026-01-31,2,415883,0.46
Jan 2026,SOM,19442156,Togdheer,current,2026-01-01,2026-01-31,3,120277,0.13
Jan 2026,SOM,19442156,Togdheer,current,2026-01-01,2026-01-31,4,33907,0.04
Jan 2026,SOM,19442156,Togdheer,current,2026-01-01,2026-01-31,5,0,0
Jan 2026,SOM,19442156,Togdheer,first projection,2026-02-01,2026-03-31,all,894874,1.0
Jan 2026,SOM,19442156,Togdheer,first projection,2026-02-01,2026-03-31,3+,236212,0.26
Jan 2026,SOM,19442156,Togdheer,first projection,2026-02-01,2026-03-31,1,207588,0.23
Jan 2026,SOM,19442156,Togdheer,first projection,2026-02-01,2026-03-31,2,451074,0.5
Jan 2026,SOM,19442156,Togdheer,first projection,2026-02-01,2026-03-31,3,171173,0.19
Jan 2026,SOM,19442156,Togdheer,first projection,2026-02-01,2026-03-31,4,65039,0.07
Jan 2026,SOM,19442156,Togdheer,first projection,2026-02-01,2026-03-31,5,0,0
Jan 2026,SOM,19442156,Togdheer,second projection,2026-04-01,2026-06-30,all,894874,1.0
Jan 2026,SOM,19442156,Togdheer,second projection,2026-04-01,2026-06-30,3+,173640,0.19
Jan 2026,SOM,19442156,Togdheer,second projection,2026-04-01,2026-06-30,1,292544,0.33
Jan 2026,SOM,19442156,Togdheer,second projection,2026-04-01,2026-06-30,2,428690,0.48
Jan 2026,SOM,19442156,Togdheer,second projection,2026-04-01,2026-06-30,3,133954,0.15
Jan 2026,SOM,19442156,Togdheer,second projection,2026-04-01,2026-06-30,4,39686,0.04
Jan 2026,SOM,19442156,Togdheer,second projection,2026-04-01,2026-06-30,5,0,0
Jan 2026,SOM,19442156,Gedo,current,2026-01-01,2026-01-31,all,1014335,1.0
Jan 2026,SOM,19442156,Gedo,current,2026-01-01,2026-01-31,3+,171897,0.17
Jan 2026,SOM,19442156,Gedo,current,2026-01-01,2026-01-31,1,462921,0.46
Jan 2026,SOM,19442156,Gedo,current,2026-01-01,2026-01-31,2,379517,0.37
Jan 2026,SOM,19442156,Gedo,current,2026-01-01,2026-01-31,3,130664,0.13
Jan 2026,SOM,19442156,Gedo,current,2026-01-01,2026-01-31,4,41233,0.04
Jan 2026,SOM,19442156,Gedo,current,2026-01-01,2026-01-31,5,0,0
Jan 2026,SOM,19442156,Gedo,first projection,2026-02-01,2026-03-31,all,1014335,1.0
Jan 2026,SOM,19442156,Gedo,first projection,2026-02-01,2026-03-31,3+,249837,0.25
