Date of analysis,Country,Total country population,Validity period,From,To,Phase,Number,Percentage
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,all,19442156,1.0
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,3+,6030278,0.31
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,1,5686108,0.29
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,2,7725794,0.4
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,3,4154332,0.21
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,4,1875950,0.1
Apr 2026,SOM,19442156,current,2026-04-01,2026-06-30,5,0,0
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,all,19442156,1.0
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,3+,4796831,0.25
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,1,7247976,0.37
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,2,7397357,0.38
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,3,3633665,0.19
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,4,1163177,0.06
Jan 2026,SOM,19442156,current,2026-01-01,2026-01-31,5,0,0
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,all,19442156,1.0
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,3+,6490025,0.33
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,1,5201596,0.27
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,2,7750553,0.4
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,3,4457308,0.23
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,4,2032720,0.1
Jan 2026,SOM,19442156,first projection,2026-02-01,2026-03-31,5,0,0
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,all,19442156,1.0
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,3+,5521448,0.28
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,1,6312451,0.32
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,2,7608275,0.39
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,3,3928930,0.2
Jan 2026,SOM,19442156,second projection,2026-04-01,2026-06-30,4,1592525,0.08
