market_id,market,countryiso3,admin1,admin2,latitude,longitude
1412,Berbera,SOM,Woqooyi Galbeed,Berbera,10.44,45.01
1413,Borama,SOM,Awdal,Borama,9.94,43.18
1414,Bossaso,SOM,Bari,Bossaso,11.26,49.18
1415,Burco,SOM,Togdheer,Burco,9.53,45.54
1416,Ceerigaabo,SOM,Sanaag,Ceerigaabo,10.62,47.37
1417,Gaalkacyo,SOM,Mudug,Gaalkacyo,6.77,47.42
1418,Garowe,SOM,Nugaal,Garoowe,8.4,48.48
1419,Hargeysa,SOM,Woqooyi Galbeed,Hargeysa,9.56,44.07
1420,Qardho,SOM,Bari,Qardho,9.5,49.09
1894,Beletweyne,SOM,Hiraan,Belet Weyne,4.74,45.2
2096,Owdweyne,SOM,Togdheer,Owdweyne,9.41,45.06
2097,Jariiban,SOM,Mudug,Jariiban,7.21,48.85
2098,Eyl,SOM,Nugaal,Eyl,7.98,49.82
2099,Buloburto,SOM,Hiraan,Bulo Burto,3.85,45.57
2100,Dhuusamarreeb,SOM,Galgaduud,Dhuusamarreeb,5.54,46.39
2101,Wadajir,SOM,,,,
2102,Doolow,SOM,Gedo,Doolow,4.16,42.08
2103,Xudur,SOM,Bakool,Xudur,4.12,43.89
2104,Karaan,SOM,Banadir,Banadir,2.07,45.39
2105,Kismayo,SOM,Juba Hoose,Kismaayo,-0.36,42.55
2106,Afmadow,SOM,Juba Hoose,Afmadow,0.51,42.07
2107,Afgooye,SOM,Shabelle Hoose,Afgooye,2.14,45.12
2108,Jowhar,SOM,Shabelle Dhexe,Jowhar,2.78,45.5
2109,Balcad,SOM,Shabelle Dhexe,Balcad,2.36,45.39
2110,Baidoa,SOM,Bay,Baydhaba,3.12,43.65
2570,Buale,SOM,Juba Dhexe,Bu'aale,1.08,42.58
2575,Dinsoor,SOM,Bay,Diinsoor,2.41,42.98
2590,Laas Caanood,SOM,Sool,Laas Caanood,8.48,47.36
2597,Qorioley,SOM,Shabelle Hoose,Qoryooley,1.78,44.53
3081,Waajid,SOM,Bakool,Waajid,3.81,43.25
3082,Caluula,SOM,Bari,Caluula,11.96,50.76
4631,Marka (Shabelle Hoose),SOM,Shabelle Hoose,Marka,1.71,44.76
6584,Baki,SOM,Awdal,Baki,10.27,43.48
6585,Lughaye,SOM,Awdal,Lughaye,10.68,43.94
6586,Zeylac,SOM,Awdal,Zeylac,11.35,43.47
6588,Gebiley,SOM,Woqooyi Galbeed,Gebiley,9.71,43.62
6589,Sheikh,SOM,Togdheer,Sheikh,9.93,45.19
6591,Caynabo,SOM,Sool,Caynabo,8.95,46.41
6592,Taleex,SOM,Sool,Taleex,9.15,48.42
6593,Xudun,SOM,Sool,Xudun,9.15,47.48
6594,Ceel Afweyn,SOM,Sanaag,Ceel Afweyn,9.93,47.22
6595,Laasqoray,SOM,Sanaag,Laasqoray,11.16,48.19
6596,Bandarbayla,SOM,Bari,Bandarbeyla,9.5,50.81
6597,Iskushuban,SOM,Bari,Iskushuban,10.28,50.23
6598,Qandala,SOM,Bari,Qandala,11.47,49.87
6599,Burtinle,SOM,Nugaal,Burtinle,7.64,47.83
6600,Galdogob,SOM,Mudug,Galdogob,7.06,47.13
6601,Buuhoodle,SOM,Togdheer,Buuhoodle,8.25,46.32
6602,Hobyo,SOM,Mudug,Hobyo,5.35,48.53
6603,Harardheere,SOM,Mudug,Xarardheere,4.65,47.86
6604,Cabudwaaq,SOM,Galgaduud,Cabudwaaq,6.24,46.31
6605,Cadaado,SOM,Galgaduud,Cadaado,6.15,46.63
6606,Ceel Buur,SOM,Galgaduud,Ceel Buur,4.68,46.62
6607,Ceel Dheer,SOM,Galgaduud,Ceel Dheer,3.85,47.18
6608,Jalalaqsi,SOM,Hiraan,Jalalaqsi,3.38,45.6
6609,Adan Jabaal,SOM,Shabelle Dhexe,Adan Yabaal,3.78,46.25
6610,Baardheere,SOM,Gedo,Baardheere,2.34,42.29
6611,Cadale,SOM,Shabelle Dhexe,Cadale,2.76,46.32
6612,Baraawe,SOM,Shabelle Hoose,Baraawe,1.11,44.03
6613,Kurtunwaarey,SOM,Shabelle Hoose,Kurtunwaarey,1.61,44.33
6614,Belet Xaawo,SOM,Gedo,Belet Xaawo,3.78,41.89
6615,Sablaale,SOM,Shabelle Hoose,Sablaale,1.25,43.8
6616,Ceel Waaq,SOM,Gedo,Ceel Waaq,2.79,41
6617,Wanla Weyn,SOM,Shabelle Hoose,Wanla Weyn,2.62,44.89
6618,Luuq,SOM,Gedo,Luuq,3.8,42.54
6619,Buur Hakaba,SOM,Bay,Buur Hakaba,2.8,44.08
6620,Bu'aale,SOM,Juba Dhexe,Bu'aale,1.24,42.57
6621,Qansax Dheere,SOM,Bay,Qansax Dheere,2.87,43
6622,Ceel Barde,SOM,Bakool,Ceel Barde,4.83,43.66
6623,Jilib,SOM,Juba Dhexe,Jilib,0.49,42.77
6624,Tayeeglow,SOM,Bakool,Tayeeglow,4.02,44.51
6625,Rab Dhuure,SOM,Bakool,Rab Dhuure,4.35,43.16
