-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
5.5,46.875,2025,1,26.64
5.5,47.5,2025,1,26.57
5.5,48.125,2025,1,25.95
5.5,48.75,2025,1,26.01
5.5,49.375,2025,1,25.8
5.5,50.0,2025,1,25.97
5.5,50.625,2025,1,25.99
5.5,51.25,2025,1,25.99
5.5,51.875,2025,1,26.1
6.0,46.875,2025,1,26.33
6.0,47.5,2025,1,26.27
6.0,48.125,2025,1,26.17
6.0,48.75,2025,1,25.99
6.0,49.375,2025,1,25.81
6.0,50.0,2025,1,25.88
6.0,50.625,2025,1,25.92
6.0,51.25,2025,1,25.91
6.0,51.875,2025,1,25.95
6.5,46.875,2025,1,26.16
6.5,47.5,2025,1,26.07
6.5,48.125,2025,1,25.86
6.5,48.75,2025,1,25.97
6.5,49.375,2025,1,25.78
6.5,50.0,2025,1,25.73
6.5,50.625,2025,1,25.85
6.5,51.25,2025,1,25.78
6.5,51.875,2025,1,25.77
7.0,46.875,2025,1,25.51
7.0,47.5,2025,1,25.6
7.0,48.125,2025,1,25.58
7.0,48.75,2025,1,25.63
7.0,49.375,2025,1,25.62
7.0,50.0,2025,1,25.63
7.0,50.625,2025,1,25.6
7.0,51.25,2025,1,25.66
7.0,51.875,2025,1,25.67
7.5,46.875,2025,1,24.54
7.5,47.5,2025,1,24.55
7.5,48.125,2025,1,24.37
7.5,48.75,2025,1,24.6
7.5,49.375,2025,1,25.07
7.5,50.0,2025,1,25.6
7.5,50.625,2025,1,25.56
7.5,51.25,2025,1,25.57
7.5,51.875,2025,1,25.61
8.0,46.875,2025,1,23.46
8.0,47.5,2025,1,22.66
8.0,48.125,2025,1,22.81
8.0,48.75,2025,1,23.46
8.0,49.375,2025,1,24.15
8.0,50.0,2025,1,25.21
8.0,50.625,2025,1,25.56
8.0,51.25,2025,1,25.5
8.0,51.875,2025,1,25.52
8.5,46.875,2025,1,22.21
8.5,47.5,2025,1,22.29
8.5,48.125,2025,1,23.08
8.5,48.75,2025,1,23.63
8.5,49.375,2025,1,23.65
8.5,50.0,2025,1,24.22
8.5,50.625,2025,1,25.44
8.5,51.25,2025,1,25.44
8.5,51.875,2025,1,25.44
9.0,46.875,2025,1,22.64
9.0,47.5,2025,1,22.56
9.0,48.125,2025,1,22.65
9.0,48.75,2025,1,22.76
9.0,49.375,2025,1,22.74
9.0,50.0,2025,1,23.4
9.0,50.625,2025,1,25.02
9.0,51.25,2025,1,25.35
9.0,51.875,2025,1,25.38
9.5,46.875,2025,1,21.53
9.5,47.5,2025,1,22.14
9.5,48.125,2025,1,20.63
9.5,48.75,2025,1,20.82
9.5,49.375,2025,1,21.69
9.5,50.0,2025,1,22.57
9.5,50.625,2025,1,23.97
9.5,51.25,2025,1,25.39
9.5,51.875,2025,1,25.36
10.0,46.875,2025,1,19.71
10.0,47.5,2025,1,20.92
10.0,48.125,2025,1,19.29
10.0,48.75,2025,1,19.09
10.0,49.375,2025,1,21.14
10.0,50.0,2025,1,22.29
10.0,50.625,2025,1,23.39
10.0,51.25,2025,1,25.41
10.0,51.875,2025,1,25.43
10.5,46.875,2025,1,19.48
10.5,47.5,2025,1,15.31
10.5,48.125,2025,1,16.38
10.5,48.75,2025,1,18.69
10.5,49.375,2025,1,20.75
10.5,50.0,2025,1,21.63
10.5,50.625,2025,1,23.5
10.5,51.25,2025,1,25.31
10.5,51.875,2025,1,25.36
11.0,46.875,2025,1,23.38
11.0,47.5,2025,1,19.95
11.0,48.125,2025,1,18.27
11.0,48.75,2025,1,20.14
11.0,49.375,2025,1,19.8
11.0,50.0,2025,1,19.05
11.0,50.625,2025,1,22.24
11.0,51.25,2025,1,24.8
11.0,51.875,2025,1,25.22
11.5,46.875,2025,1,24.46
11.5,47.5,2025,1,24.32
11.5,48.125,2025,1,24.21
11.5,48.75,2025,1,23.86
11.5,49.375,2025,1,23.11
11.5,50.0,2025,1,21.68
11.5,50.625,2025,1,22.0
11.5,51.25,2025,1,24.22
11.5,51.875,2025,1,24.99
12.0,46.875,2025,1,24.37
12.0,47.5,2025,1,24.23
12.0,48.125,2025,1,24.2
12.0,48.75,2025,1,24.5
12.0,49.375,2025,1,24.66
12.0,50.0,2025,1,24.51
12.0,50.625,2025,1,23.97
12.0,51.25,2025,1,24.59
12.0,51.875,2025,1,24.71
12.5,46.875,2025,1,24.35
12.5,47.5,2025,1,24.17
12.5,48.125,2025,1,24.08
12.5,48.75,2025,1,24.17
12.5,49.375,2025,1,24.53
12.5,50.0,2025,1,24.66
12.5,50.625,2025,1,24.76
12.5,51.25,2025,1,24.79
12.5,51.875,2025,1,24.53
5.5,46.875,2025,2,27.22
5.5,47.5,2025,2,27.17
5.5,48.125,2025,2,26.66
5.5,48.75,2025,2,26.56
5.5,49.375,2025,2,26.22
5.5,50.0,2025,2,26.38
5.5,50.625,2025,2,26.43
5.5,51.25,2025,2,26.46
5.5,51.875,2025,2,26.56
6.0,46.875,2025,2,26.88
6.0,47.5,2025,2,26.88
6.0,48.125,2025,2,26.76
6.0,48.75,2025,2,26.53
6.0,49.375,2025,2,26.14
6.0,50.0,2025,2,26.22
6.0,50.625,2025,2,26.39
6.0,51.25,2025,2,26.41
6.0,51.875,2025,2,26.39
6.5,46.875,2025,2,26.49
6.5,47.5,2025,2,26.58
6.5,48.125,2025,2,26.49
6.5,48.75,2025,2,26.51
6.5,49.375,2025,2,26.09
6.5,50.0,2025,2,26.06
6.5,50.625,2025,2,26.23
6.5,51.25,2025,2,26.27
6.5,51.875,2025,2,26.24
7.0,46.875,2025,2,25.7
7.0,47.5,2025,2,25.99
7.0,48.125,2025,2,26.09
7.0,48.75,2025,2,26.22
7.0,49.375,2025,2,25.97
7.0,50.0,2025,2,25.87
7.0,50.625,2025,2,25.99
7.0,51.25,2025,2,26.11
7.0,51.875,2025,2,26.14
7.5,46.875,2025,2,24.68
7.5,47.5,2025,2,24.91
7.5,48.125,2025,2,24.74
7.5,48.75,2025,2,24.99
7.5,49.375,2025,2,25.44
7.5,50.0,2025,2,25.72
