-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MAX
-2.0,46.875,2025,1,27.56
-2.0,47.5,2025,1,27.69
-2.0,48.125,2025,1,27.59
-2.0,48.75,2025,1,27.54
-2.0,49.375,2025,1,27.48
-2.0,50.0,2025,1,27.42
-2.0,50.625,2025,1,27.22
-2.0,51.25,2025,1,27.08
-2.0,51.875,2025,1,27.13
-1.5,46.875,2025,1,27.44
-1.5,47.5,2025,1,27.64
-1.5,48.125,2025,1,27.47
-1.5,48.75,2025,1,27.44
-1.5,49.375,2025,1,27.42
-1.5,50.0,2025,1,27.31
-1.5,50.625,2025,1,27.17
-1.5,51.25,2025,1,27.01
-1.5,51.875,2025,1,27.0
-1.0,46.875,2025,1,27.18
-1.0,47.5,2025,1,27.43
-1.0,48.125,2025,1,27.32
-1.0,48.75,2025,1,27.22
-1.0,49.375,2025,1,27.15
-1.0,50.0,2025,1,27.17
-1.0,50.625,2025,1,27.14
-1.0,51.25,2025,1,27.04
-1.0,51.875,2025,1,27.03
-0.5,46.875,2025,1,26.85
-0.5,47.5,2025,1,27.12
-0.5,48.125,2025,1,27.16
-0.5,48.75,2025,1,26.92
-0.5,49.375,2025,1,26.84
-0.5,50.0,2025,1,26.97
-0.5,50.625,2025,1,27.02
-0.5,51.25,2025,1,26.92
-0.5,51.875,2025,1,27.03
-1.7975103014118005e-13,46.875,2025,1,26.61
-1.7975103014118005e-13,47.5,2025,1,26.7
-1.7975103014118005e-13,48.125,2025,1,26.85
-1.7975103014118005e-13,48.75,2025,1,26.79
-1.7975103014118005e-13,49.375,2025,1,26.81
-1.7975103014118005e-13,50.0,2025,1,26.91
-1.7975103014118005e-13,50.625,2025,1,26.86
-1.7975103014118005e-13,51.25,2025,1,26.84
-1.7975103014118005e-13,51.875,2025,1,27.01
0.5,46.875,2025,1,26.46
0.5,47.5,2025,1,26.52
0.5,48.125,2025,1,26.8
0.5,48.75,2025,1,26.77
0.5,49.375,2025,1,26.78
0.5,50.0,2025,1,26.9
0.5,50.625,2025,1,26.73
0.5,51.25,2025,1,26.81
0.5,51.875,2025,1,27.0
1.0,46.875,2025,1,26.42
1.0,47.5,2025,1,26.44
1.0,48.125,2025,1,26.63
1.0,48.75,2025,1,26.65
1.0,49.375,2025,1,26.75
1.0,50.0,2025,1,26.89
1.0,50.625,2025,1,26.75
1.0,51.25,2025,1,26.69
1.0,51.875,2025,1,26.83
1.5,46.875,2025,1,26.36
1.5,47.5,2025,1,26.41
1.5,48.125,2025,1,26.44
1.5,48.75,2025,1,26.56
1.5,49.375,2025,1,26.65
1.5,50.0,2025,1,26.7
1.5,50.625,2025,1,26.65
1.5,51.25,2025,1,26.56
1.5,51.875,2025,1,26.66
2.0,46.875,2025,1,26.28
2.0,47.5,2025,1,26.35
2.0,48.125,2025,1,26.43
2.0,48.75,2025,1,26.48
2.0,49.375,2025,1,26.51
2.0,50.0,2025,1,26.51
2.0,50.625,2025,1,26.47
2.0,51.25,2025,1,26.51
2.0,51.875,2025,1,26.64
2.5,46.875,2025,1,26.22
2.5,47.5,2025,1,26.21
2.5,48.125,2025,1,26.35
2.5,48.75,2025,1,26.36
2.5,49.375,2025,1,26.33
2.5,50.0,2025,1,26.37
2.5,50.625,2025,1,26.43
2.5,51.25,2025,1,26.5
2.5,51.875,2025,1,26.61
3.0,46.875,2025,1,27.29
3.0,47.5,2025,1,26.16
3.0,48.125,2025,1,26.25
3.0,48.75,2025,1,26.29
3.0,49.375,2025,1,26.26
3.0,50.0,2025,1,26.29
3.0,50.625,2025,1,26.45
3.0,51.25,2025,1,26.52
3.0,51.875,2025,1,26.62
3.5,46.875,2025,1,31.97
3.5,47.5,2025,1,26.53
3.5,48.125,2025,1,26.21
3.5,48.75,2025,1,26.21
3.5,49.375,2025,1,26.22
3.5,50.0,2025,1,26.23
3.5,50.625,2025,1,26.37
3.5,51.25,2025,1,26.58
3.5,51.875,2025,1,26.68
4.0,46.875,2025,1,34.75
4.0,47.5,2025,1,29.68
4.0,48.125,2025,1,26.08
4.0,48.75,2025,1,26.25
4.0,49.375,2025,1,26.24
4.0,50.0,2025,1,26.22
4.0,50.625,2025,1,26.36
4.0,51.25,2025,1,26.57
4.0,51.875,2025,1,26.71
4.5,46.875,2025,1,35.16
4.5,47.5,2025,1,32.86
4.5,48.125,2025,1,27.21
4.5,48.75,2025,1,26.19
4.5,49.375,2025,1,26.31
4.5,50.0,2025,1,26.26
4.5,50.625,2025,1,26.28
4.5,51.25,2025,1,26.51
4.5,51.875,2025,1,26.66
5.0,46.875,2025,1,35.35
5.0,47.5,2025,1,34.22
5.0,48.125,2025,1,30.42
5.0,48.75,2025,1,25.96
5.0,49.375,2025,1,26.12
5.0,50.0,2025,1,26.28
5.0,50.625,2025,1,26.26
5.0,51.25,2025,1,26.35
