-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MAX
5.5,46.875,2025,1,34.96
5.5,47.5,2025,1,34.79
5.5,48.125,2025,1,33.18
5.5,48.75,2025,1,28.09
5.5,49.375,2025,1,26.03
5.5,50.0,2025,1,26.23
5.5,50.625,2025,1,26.23
5.5,51.25,2025,1,26.22
5.5,51.875,2025,1,26.35
6.0,46.875,2025,1,34.74
6.0,47.5,2025,1,34.54
6.0,48.125,2025,1,33.9
6.0,48.75,2025,1,30.76
6.0,49.375,2025,1,26.02
6.0,50.0,2025,1,26.19
6.0,50.625,2025,1,26.19
6.0,51.25,2025,1,26.13
6.0,51.875,2025,1,26.3
6.5,46.875,2025,1,34.97
6.5,47.5,2025,1,34.77
6.5,48.125,2025,1,33.94
6.5,48.75,2025,1,32.01
6.5,49.375,2025,1,26.99
6.5,50.0,2025,1,25.97
6.5,50.625,2025,1,26.17
6.5,51.25,2025,1,26.01
6.5,51.875,2025,1,26.16
7.0,46.875,2025,1,35.0
7.0,47.5,2025,1,34.97
7.0,48.125,2025,1,34.6
7.0,48.75,2025,1,33.3
7.0,49.375,2025,1,28.72
7.0,50.0,2025,1,25.8
7.0,50.625,2025,1,25.82
7.0,51.25,2025,1,25.89
7.0,51.875,2025,1,26.07
7.5,46.875,2025,1,34.32
7.5,47.5,2025,1,34.19
7.5,48.125,2025,1,33.71
7.5,48.75,2025,1,33.3
7.5,49.375,2025,1,31.16
7.5,50.0,2025,1,26.43
7.5,50.625,2025,1,25.75
7.5,51.25,2025,1,25.84
7.5,51.875,2025,1,25.97
8.0,46.875,2025,1,32.94
8.0,47.5,2025,1,31.94
8.0,48.125,2025,1,31.91
8.0,48.75,2025,1,32.39
8.0,49.375,2025,1,32.24
8.0,50.0,2025,1,27.91
8.0,50.625,2025,1,25.75
8.0,51.25,2025,1,25.76
8.0,51.875,2025,1,25.88
8.5,46.875,2025,1,31.54
8.5,47.5,2025,1,31.64
8.5,48.125,2025,1,32.57
8.5,48.75,2025,1,32.71
8.5,49.375,2025,1,32.38
8.5,50.0,2025,1,30.76
8.5,50.625,2025,1,25.9
8.5,51.25,2025,1,25.69
8.5,51.875,2025,1,25.7
9.0,46.875,2025,1,32.21
9.0,47.5,2025,1,32.89
9.0,48.125,2025,1,33.0
9.0,48.75,2025,1,32.08
9.0,49.375,2025,1,31.63
9.0,50.0,2025,1,31.43
9.0,50.625,2025,1,27.66
9.0,51.25,2025,1,25.61
9.0,51.875,2025,1,25.64
9.5,46.875,2025,1,31.35
9.5,47.5,2025,1,33.02
9.5,48.125,2025,1,31.36
9.5,48.75,2025,1,30.51
9.5,49.375,2025,1,30.71
9.5,50.0,2025,1,31.11
9.5,50.625,2025,1,29.66
9.5,51.25,2025,1,25.71
9.5,51.875,2025,1,25.58
10.0,46.875,2025,1,28.55
10.0,47.5,2025,1,31.51
10.0,48.125,2025,1,30.07
10.0,48.75,2025,1,28.52
10.0,49.375,2025,1,30.05
10.0,50.0,2025,1,31.13
10.0,50.625,2025,1,29.88
10.0,51.25,2025,1,26.29
10.0,51.875,2025,1,25.7
10.5,46.875,2025,1,26.13
