-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MIN
-2.0,41.25,2025,1,26.43
-2.0,41.875,2025,1,27.04
-2.0,42.5,2025,1,26.85
-2.0,43.125,2025,1,26.64
-2.0,43.75,2025,1,26.57
-2.0,44.375,2025,1,26.58
-2.0,45.0,2025,1,26.68
-2.0,45.625,2025,1,26.99
-2.0,46.25,2025,1,27.0
-1.5,41.25,2025,1,25.21
-1.5,41.875,2025,1,26.55
-1.5,42.5,2025,1,26.72
-1.5,43.125,2025,1,26.68
-1.5,43.75,2025,1,26.55
-1.5,44.375,2025,1,26.46
-1.5,45.0,2025,1,26.49
-1.5,45.625,2025,1,26.71
-1.5,46.25,2025,1,26.89
-1.0,41.25,2025,1,24.81
-1.0,41.875,2025,1,25.77
-1.0,42.5,2025,1,26.66
-1.0,43.125,2025,1,26.63
-1.0,43.75,2025,1,26.54
-1.0,44.375,2025,1,26.38
-1.0,45.0,2025,1,26.27
-1.0,45.625,2025,1,26.36
-1.0,46.25,2025,1,26.63
-0.5,41.25,2025,1,24.83
-0.5,41.875,2025,1,25.3
-0.5,42.5,2025,1,26.39
-0.5,43.125,2025,1,26.63
-0.5,43.75,2025,1,26.54
-0.5,44.375,2025,1,26.38
-0.5,45.0,2025,1,26.25
-0.5,45.625,2025,1,26.27
-0.5,46.25,2025,1,26.47
-1.7975103014118005e-13,41.25,2025,1,24.74
-1.7975103014118005e-13,41.875,2025,1,24.75
-1.7975103014118005e-13,42.5,2025,1,25.13
-1.7975103014118005e-13,43.125,2025,1,26.27
-1.7975103014118005e-13,43.75,2025,1,26.52
-1.7975103014118005e-13,44.375,2025,1,26.41
-1.7975103014118005e-13,45.0,2025,1,26.25
-1.7975103014118005e-13,45.625,2025,1,26.25
-1.7975103014118005e-13,46.25,2025,1,26.3
0.5,41.25,2025,1,24.57
0.5,41.875,2025,1,24.61
0.5,42.5,2025,1,24.54
0.5,43.125,2025,1,25.25
0.5,43.75,2025,1,26.3
0.5,44.375,2025,1,26.43
0.5,45.0,2025,1,26.3
0.5,45.625,2025,1,26.22
0.5,46.25,2025,1,26.16
1.0,41.25,2025,1,24.55
1.0,41.875,2025,1,24.4
1.0,42.5,2025,1,24.12
1.0,43.125,2025,1,24.15
1.0,43.75,2025,1,24.95
1.0,44.375,2025,1,26.27
1.0,45.0,2025,1,26.25
1.0,45.625,2025,1,26.16
1.0,46.25,2025,1,26.14
1.5,41.25,2025,1,23.84
1.5,41.875,2025,1,23.84
1.5,42.5,2025,1,23.74
1.5,43.125,2025,1,23.51
1.5,43.75,2025,1,23.68
1.5,44.375,2025,1,25.1
1.5,45.0,2025,1,26.04
1.5,45.625,2025,1,26.07
1.5,46.25,2025,1,26.06
2.0,41.25,2025,1,22.76
2.0,41.875,2025,1,22.71
2.0,42.5,2025,1,22.47
2.0,43.125,2025,1,22.05
2.0,43.75,2025,1,22.58
2.0,44.375,2025,1,22.92
2.0,45.0,2025,1,23.61
2.0,45.625,2025,1,25.55
2.0,46.25,2025,1,25.97
2.5,41.25,2025,1,21.58
2.5,41.875,2025,1,20.62
2.5,42.5,2025,1,20.88
2.5,43.125,2025,1,20.64
2.5,43.75,2025,1,21.51
2.5,44.375,2025,1,22.14
2.5,45.0,2025,1,21.85
2.5,45.625,2025,1,22.38
2.5,46.25,2025,1,25.54
3.0,41.25,2025,1,20.88
3.0,41.875,2025,1,19.55
3.0,42.5,2025,1,20.79
3.0,43.125,2025,1,20.23
3.0,43.75,2025,1,20.5
3.0,44.375,2025,1,20.94
3.0,45.0,2025,1,21.51
3.0,45.625,2025,1,21.3
3.0,46.25,2025,1,21.99
3.5,41.25,2025,1,19.91
3.5,41.875,2025,1,20.11
3.5,42.5,2025,1,21.17
3.5,43.125,2025,1,20.87
3.5,43.75,2025,1,19.15
3.5,44.375,2025,1,19.65
3.5,45.0,2025,1,20.58
3.5,45.625,2025,1,21.0
3.5,46.25,2025,1,20.39
4.0,41.25,2025,1,20.24
4.0,41.875,2025,1,20.81
4.0,42.5,2025,1,21.13
4.0,43.125,2025,1,20.75
4.0,43.75,2025,1,18.85
4.0,44.375,2025,1,18.68
4.0,45.0,2025,1,20.32
4.0,45.625,2025,1,20.63
4.0,46.25,2025,1,20.48
4.5,41.25,2025,1,18.63
4.5,41.875,2025,1,20.97
4.5,42.5,2025,1,20.58
4.5,43.125,2025,1,19.79
4.5,43.75,2025,1,18.72
4.5,44.375,2025,1,18.19
4.5,45.0,2025,1,20.21
4.5,45.625,2025,1,20.21
4.5,46.25,2025,1,20.78
5.0,41.25,2025,1,18.02
5.0,41.875,2025,1,20.23
5.0,42.5,2025,1,20.4
5.0,43.125,2025,1,19.25
5.0,43.75,2025,1,18.86
5.0,44.375,2025,1,19.33
5.0,45.0,2025,1,20.1
