-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MIN
5.5,46.875,2025,1,20.02
5.5,47.5,2025,1,20.36
5.5,48.125,2025,1,20.95
5.5,48.75,2025,1,24.66
5.5,49.375,2025,1,25.64
5.5,50.0,2025,1,25.66
5.5,50.625,2025,1,25.74
5.5,51.25,2025,1,25.82
5.5,51.875,2025,1,25.91
6.0,46.875,2025,1,19.96
6.0,47.5,2025,1,20.05
6.0,48.125,2025,1,20.66
6.0,48.75,2025,1,22.68
6.0,49.375,2025,1,25.5
6.0,50.0,2025,1,25.58
6.0,50.625,2025,1,25.61
6.0,51.25,2025,1,25.64
6.0,51.875,2025,1,25.74
6.5,46.875,2025,1,19.79
6.5,47.5,2025,1,19.64
6.5,48.125,2025,1,20.01
6.5,48.75,2025,1,21.66
6.5,49.375,2025,1,24.91
6.5,50.0,2025,1,25.59
6.5,50.625,2025,1,25.57
6.5,51.25,2025,1,25.52
6.5,51.875,2025,1,25.5
7.0,46.875,2025,1,18.17
7.0,47.5,2025,1,18.28
7.0,48.125,2025,1,18.64
7.0,48.75,2025,1,19.82
7.0,49.375,2025,1,23.22
7.0,50.0,2025,1,25.46
7.0,50.625,2025,1,25.41
7.0,51.25,2025,1,25.39
7.0,51.875,2025,1,25.37
7.5,46.875,2025,1,16.64
7.5,47.5,2025,1,16.74
7.5,48.125,2025,1,16.94
7.5,48.75,2025,1,17.91
7.5,49.375,2025,1,20.44
7.5,50.0,2025,1,24.84
7.5,50.625,2025,1,25.33
7.5,51.25,2025,1,25.28
7.5,51.875,2025,1,25.26
8.0,46.875,2025,1,15.82
8.0,47.5,2025,1,14.97
8.0,48.125,2025,1,15.34
8.0,48.75,2025,1,16.56
8.0,49.375,2025,1,18.02
8.0,50.0,2025,1,23.1
8.0,50.625,2025,1,25.36
8.0,51.25,2025,1,25.22
8.0,51.875,2025,1,25.18
8.5,46.875,2025,1,14.88
8.5,47.5,2025,1,14.18
8.5,48.125,2025,1,14.99
8.5,48.75,2025,1,16.33
8.5,49.375,2025,1,17.11
8.5,50.0,2025,1,19.68
8.5,50.625,2025,1,24.92
8.5,51.25,2025,1,25.2
8.5,51.875,2025,1,25.13
9.0,46.875,2025,1,15.25
9.0,47.5,2025,1,14.28
9.0,48.125,2025,1,13.84
9.0,48.75,2025,1,15.22
9.0,49.375,2025,1,16.24
9.0,50.0,2025,1,17.94
9.0,50.625,2025,1,22.81
9.0,51.25,2025,1,25.15
9.0,51.875,2025,1,25.1
9.5,46.875,2025,1,14.42
9.5,47.5,2025,1,13.26
9.5,48.125,2025,1,11.71
9.5,48.75,2025,1,13.54
9.5,49.375,2025,1,15.12
9.5,50.0,2025,1,16.86
9.5,50.625,2025,1,19.6
9.5,51.25,2025,1,25.1
9.5,51.875,2025,1,25.14
10.0,46.875,2025,1,13.68
10.0,47.5,2025,1,12.83
10.0,48.125,2025,1,11.05
10.0,48.75,2025,1,12.68
10.0,49.375,2025,1,14.82
10.0,50.0,2025,1,15.99
10.0,50.625,2025,1,18.61
10.0,51.25,2025,1,24.63
10.0,51.875,2025,1,25.18
10.5,46.875,2025,1,14.5
10.5,47.5,2025,1,7.56
10.5,48.125,2025,1,8.66
10.5,48.75,2025,1,12.76
10.5,49.375,2025,1,14.0
10.5,50.0,2025,1,14.86
10.5,50.625,2025,1,17.58
10.5,51.25,2025,1,23.63
10.5,51.875,2025,1,24.91
11.0,46.875,2025,1,21.46
11.0,47.5,2025,1,16.07
11.0,48.125,2025,1,14.39
11.0,48.75,2025,1,15.38
11.0,49.375,2025,1,14.31
11.0,50.0,2025,1,13.12
11.0,50.625,2025,1,16.05
11.0,51.25,2025,1,22.68
11.0,51.875,2025,1,24.64
11.5,46.875,2025,1,24.06
11.5,47.5,2025,1,23.85
11.5,48.125,2025,1,23.76
11.5,48.75,2025,1,22.91
11.5,49.375,2025,1,21.41
11.5,50.0,2025,1,18.79
11.5,50.625,2025,1,17.0
11.5,51.25,2025,1,22.15
